id_scal;scenario_key;name;var_name;carrier;region;tech;type;var_value;var_unit;source;comment
158;2045_scenario;;capacity_cost;electricity;ALL;heatpump_heat_high;conversion;53744.59814536441;;;
159;2045_scenario;r120640428428-electricity-heatpump_heat_high;capacity_potential;electricity;r120640428428;heatpump_heat_high;conversion;;MW;;Empty
160;2045_scenario;r120640472472-electricity-heatpump_heat_high;capacity_potential;electricity;r120640472472;heatpump_heat_high;conversion;;MW;;Empty
161;2045_scenario;r120670124124-electricity-heatpump_heat_high;capacity_potential;electricity;r120670124124;heatpump_heat_high;conversion;;MW;;Empty
162;2045_scenario;r120670201201-electricity-heatpump_heat_high;capacity_potential;electricity;r120670201201;heatpump_heat_high;conversion;;MW;;Empty
163;2045_scenario;;carrier_cost;electricity;ALL;heatpump_heat_high;conversion;0.0;Eur/MWh;From original raw_cost_eff:;Zero
164;2045_scenario;;expandable;electricity;ALL;heatpump_heat_high;conversion;true;;;
165;2045_scenario;;marginal_cost;electricity;ALL;heatpump_heat_high;conversion;3.1922;EUR/MWh;"PyPSA: Danish Energy Agency; technology_data_for_industrial_process_heat.xlsx";302.a High temp. hp Up to 125 C:  Variable O&M
166;2045_scenario;r120640428428-electricity-import;capacity;electricity;r120640428428;import;shortage;100000000.0;MW;;No limit for import
167;2045_scenario;r120640472472-electricity-import;capacity;electricity;r120640472472;import;shortage;100000000.0;MW;;No limit for import
168;2045_scenario;r120670124124-electricity-import;capacity;electricity;r120670124124;import;shortage;100000000.0;MW;;No limit for import
169;2045_scenario;r120670201201-electricity-import;capacity;electricity;r120670201201;import;shortage;100000000.0;MW;;No limit for import
170;2045_scenario;;marginal_cost;electricity;ALL;import;shortage;73.0;Eur/MWh;vbw/Prognos Strompreisprogonose 2024 https://www.vbw-bayern.de/Redaktion/Frei-zugaengliche-Medien/Abteilungen-GS/Wirtschaftspolitik/2024/Downloads/Strompreisprognose_2024_v4-(002).pdf;Folie 15 von 17
171;2045_scenario;r120640428428-electricity-large_battery_storage;capacity;electricity;r120640428428;large_battery_storage;storage;0.0;MW;;Zero
172;2045_scenario;r120640472472-electricity-large_battery_storage;capacity;electricity;r120640472472;large_battery_storage;storage;0.0;MW;;Zero
173;2045_scenario;r120670124124-electricity-large_battery_storage;capacity;electricity;r120670124124;large_battery_storage;storage;0.0;MW;;Zero
174;2045_scenario;r120670201201-electricity-large_battery_storage;capacity;electricity;r120670201201;large_battery_storage;storage;0.0;MW;;Zero
175;2045_scenario;;capacity_cost;electricity;ALL;large_battery_storage;storage;571.4257830099133;;;
176;2045_scenario;r120640428428-electricity-large_battery_storage;capacity_potential;electricity;r120640428428;large_battery_storage;storage;;MW;;Empty
177;2045_scenario;r120640472472-electricity-large_battery_storage;capacity_potential;electricity;r120640472472;large_battery_storage;storage;;MW;;Empty
178;2045_scenario;r120670124124-electricity-large_battery_storage;capacity_potential;electricity;r120670124124;large_battery_storage;storage;;MW;;Empty
179;2045_scenario;r120670201201-electricity-large_battery_storage;capacity_potential;electricity;r120670201201;large_battery_storage;storage;;MW;;Empty
180;2045_scenario;;efficiency;electricity;ALL;large_battery_storage;storage;0.92;;"Digiplan-Empowerplan: technology_data_catalogue_for_energy_and_storage.xlsx; 180 Lithium Ion Battery";
181;2045_scenario;;expandable;electricity;ALL;large_battery_storage;storage;true;;;
182;2045_scenario;r120640428428-electricity-large_battery_storage;input_parameters;electricity;r120640428428;large_battery_storage;storage;"{""variable_costs"": 0.1}";;;Own assumption to prevent hidden curtailment
183;2045_scenario;r120640472472-electricity-large_battery_storage;input_parameters;electricity;r120640472472;large_battery_storage;storage;"{""variable_costs"": 0.1}";;;Own assumption to prevent hidden curtailment
